%time,field
1559775763970978021,522.513721514
1559775763971554994,522.533186643
1559775763973856925,522.504855587
1559775763975661039,522.530285289
1559775763977209091,522.519830394
1559775763979202032,522.555833771
1559775763981550931,522.550294417
1559775763983223915,522.584347028
1559775763985451936,522.58082154
1559775763987282037,522.584776113
1559775763989483118,522.573720939
1559775763991945028,522.589219449
1559775763993381977,522.618421992
1559775763995457887,522.61299648
1559775763995749950,522.609038705
1559775763997235059,522.606706496
1559775763999238967,522.591216735
1559775764001334905,522.604118388
1559775764003335952,522.603142295
1559775764005748033,522.60211029
1559775764009402990,522.587444315
1559775764011480093,522.601290981
1559775764013216018,522.613449327
1559775764015471935,522.609174483
1559775764015811920,522.600996557
1559775764017298936,522.603209082
1559775764019318103,522.584560915
1559775764023158073,522.593713122
1559775764025697946,522.591155612
1559775764027369022,522.580283958
1559775764029356002,522.578753492
1559775764031604051,522.577931999
1559775764035588026,522.577350611
1559775764035917043,522.575201799
1559775764037427902,522.578043363
1559775764040035009,522.577212227
1559775764041311979,522.58412348
1559775764043073892,522.6028619
1559775764045206069,522.60159471
1559775764045665025,522.597692221
1559775764047411918,522.62596409
1559775764049705028,522.632288628
1559775764051448106,522.613755538
1559775764053143024,522.596126058
1559775764055824041,522.579567129
1559775764057210922,522.566656999
1559775764059571027,522.558047393
1559775764061084985,522.564941628
1559775764063505887,522.568091751
1559775764065253973,522.563033133
1559775764065747022,522.56249623
1559775764067329883,522.558007649
1559775764069433927,522.56470592
1559775764071716070,522.571500514
1559775764073333024,522.570250462
1559775764075525999,522.577052305
1559775764077295064,522.564212597
1559775764079169034,522.578177052
1559775764081234931,522.573277299
1559775764083386898,522.560343194
1559775764085069894,522.555438178
1559775764085441112,522.554779975
1559775764088428974,522.550210716
1559775764090511083,522.533966675
1559775764091561079,522.537646512
1559775764095566034,522.540777735
1559775764099704980,522.517141134
1559775764101473093,522.517643079
1559775764103380918,522.535398576
1559775764105798959,522.5309599
1559775764105979919,522.531895401
1559775764107525110,522.535796322
1559775764109282016,522.523965726
1559775764111057043,522.524143549
1559775764113219976,522.508044931
1559775764115674018,522.491824964
1559775764117115974,522.489124707
1559775764119301080,522.473084852
1559775764121500968,522.479040862
1559775764123512983,522.471291
1559775764125026941,522.469271869
1559775764125330924,522.473583991
1559775764127698898,522.481910055
1559775764129514932,522.482406118
1559775764131398916,522.472314357
1559775764133347034,522.470443564
1559775764135787010,522.467188747
1559775764137562990,522.465496039
1559775764139975070,522.458361096
1559775764141238927,522.46093535
1559775764143536090,522.474184161
